Interference and Diffraction Data File Tue, Oct 23, 2018 3:18 PM
Sensor Position (Meters)	Light Intensity (Volts)
-0.00278	-0.00088
-0.00278	-0.00490
-0.00278	0.00009
-0.00283	0.00428
-0.00283	0.00090
-0.00289	-0.00539
-0.00289	0.00428
-0.00294	0.00057
-0.00294	0.00073
-0.00294	-0.00555
-0.00300	0.00315
-0.00300	-0.00055
-0.00306	0.00396
-0.00306	-0.00458
-0.00306	0.00025
-0.00311	0.00621
-0.00311	-0.00023
-0.00317	0.00218
-0.00317	0.00444
-0.00322	0.00090
-0.00322	0.00315
-0.00322	-0.00474
-0.00328	-0.00023
-0.00328	0.00444
-0.00333	-0.00378
-0.00333	0.00702
-0.00333	0.00041
-0.00339	0.00090
-0.00339	0.00621
-0.00344	0.00702
-0.00344	-0.00023
-0.00344	0.00718
-0.00350	0.00106
-0.00350	0.00557
-0.00350	0.00750
-0.00356	-0.00168
-0.00356	-0.00152
-0.00361	0.00218
-0.00361	0.00186
-0.00361	-0.00152
-0.00367	0.00154
-0.00367	0.00412
-0.00372	0.00299
-0.00372	0.00009
-0.00378	0.00283
-0.00378	0.00347
-0.00378	0.00798
-0.00383	-0.00104
-0.00383	0.00718
-0.00389	0.00944
-0.00389	0.00879
-0.00389	0.00170
-0.00394	0.00073
-0.00394	0.00138
-0.00400	0.00170
-0.00400	0.00299
-0.00400	0.00170
-0.00406	0.00428
-0.00406	0.00283
-0.00411	-0.00281
-0.00411	0.00090
-0.00411	0.00202
-0.00417	0.00831
-0.00417	0.00106
-0.00422	0.00621
-0.00422	0.00492
-0.00422	0.00670
-0.00428	0.00073
-0.00428	-0.00249
-0.00428	0.00541
-0.00433	0.00380
-0.00433	-0.00055
-0.00439	0.00331
-0.00439	0.00122
-0.00439	0.00637
-0.00444	0.00476
-0.00444	0.00702
-0.00450	0.00218
-0.00450	0.00186
-0.00456	0.00235
-0.00456	0.00202
-0.00456	0.00573
-0.00461	0.00315
-0.00461	0.00460
-0.00467	-0.00007
-0.00467	0.00186
-0.00467	0.00670
-0.00472	0.00009
-0.00472	-0.00265
-0.00478	-0.00184
-0.00478	-0.00055
-0.00483	0.00653
-0.00483	0.00605
-0.00483	0.00460
-0.00489	0.00170
-0.00489	-0.00378
-0.00494	0.00331
-0.00494	0.00009
-0.00494	0.00380
-0.00500	-0.00072
-0.00500	0.00218
-0.00506	0.00154
-0.00506	0.00686
-0.00506	0.00057
-0.00511	0.00444
-0.00511	0.00073
-0.00517	0.00573
-0.00517	0.00718
-0.00517	-0.00152
-0.00522	0.00090
-0.00522	0.00541
-0.00522	-0.00362
-0.00528	0.00283
-0.00528	0.00766
-0.00533	0.00347
-0.00533	-0.00184
-0.00533	0.00476
-0.00539	0.00573
-0.00539	-0.00378
-0.00544	0.01298
-0.00544	0.00702
-0.00544	0.00202
-0.00550	0.00315
-0.00550	0.00428
-0.00556	0.00589
-0.00556	0.00798
-0.00561	0.00218
-0.00561	0.00283
-0.00561	0.00186
-0.00567	0.00202
-0.00567	0.00315
-0.00572	0.00202
-0.00572	-0.00200
-0.00572	0.00170
-0.00578	0.00235
-0.00578	0.00944
-0.00583	0.00363
-0.00583	0.00750
-0.00583	0.00331
-0.00589	0.00170
-0.00589	0.00170
-0.00594	0.00525
-0.00594	0.00073
-0.00594	0.00637
-0.00600	0.00621
-0.00600	-0.00265
-0.00606	0.00831
-0.00606	0.00766
-0.00606	0.00315
-0.00611	0.00573
-0.00611	0.00444
-0.00617	0.00444
-0.00617	0.00202
-0.00617	0.00202
-0.00622	-0.00474
-0.00622	0.00525
-0.00628	0.00621
-0.00628	0.00428
-0.00628	0.00782
-0.00633	-0.00507
-0.00633	0.00573
-0.00639	0.00267
-0.00639	0.00106
-0.00644	0.00090
-0.00644	0.00621
-0.00644	0.00009
-0.00650	-0.00507
-0.00650	0.00041
-0.00650	0.00396
-0.00656	-0.00716
-0.00656	0.00396
-0.00661	-0.00136
-0.00661	0.00476
-0.00667	-0.00490
-0.00667	0.00525
-0.00667	-0.00603
-0.00672	-0.00039
-0.00672	-0.00555
-0.00678	-0.00023
-0.00678	0.00428
-0.00678	0.00557
-0.00683	0.00605
-0.00683	0.00041
-0.00689	0.00541
-0.00689	0.00718
-0.00689	0.00460
-0.00694	0.00444
-0.00694	0.00541
-0.00700	0.00347
-0.00700	-0.00329
-0.00700	0.00428
-0.00706	0.00541
-0.00706	-0.00072
-0.00711	0.00009
-0.00711	0.00315
-0.00711	0.00041
-0.00717	0.00637
-0.00717	0.00202
-0.00722	0.00202
-0.00722	0.00331
-0.00722	0.00170
-0.00728	0.00412
-0.00728	0.00122
-0.00733	0.00444
-0.00733	0.00122
-0.00739	-0.00329
-0.00739	0.00299
-0.00739	0.00621
-0.00744	-0.00442
-0.00744	0.00412
-0.00750	0.00154
-0.00750	0.00718
-0.00750	0.00637
-0.00756	0.00508
-0.00756	0.00122
-0.00761	0.00057
-0.00761	0.00750
-0.00761	-0.00088
-0.00767	0.00025
-0.00767	-0.00039
-0.00767	0.00025
-0.00772	-0.00410
-0.00772	0.00170
-0.00778	0.00154
-0.00778	0.00186
-0.00783	0.00541
-0.00783	-0.00394
-0.00783	0.00573
-0.00789	0.00106
-0.00789	0.00218
-0.00794	0.00025
-0.00794	0.00670
-0.00800	0.00267
-0.00800	0.00718
-0.00800	-0.00394
-0.00806	0.00299
-0.00806	0.00557
-0.00811	0.00508
-0.00811	0.00122
-0.00817	-0.00507
-0.00817	-0.00249
-0.00817	0.00218
-0.00822	-0.00329
-0.00822	0.00025
-0.00828	0.00235
-0.00828	-0.00055
-0.00828	-0.00007
-0.00833	0.00621
-0.00833	-0.00023
-0.00839	0.00057
-0.00839	0.00138
-0.00839	0.00235
-0.00844	0.00380
-0.00844	-0.00072
-0.00850	-0.00152
-0.00850	-0.00007
-0.00850	0.00073
-0.00856	-0.00088
-0.00856	0.00041
-0.00861	0.00605
-0.00861	0.00057
-0.00867	-0.00007
-0.00867	0.00138
-0.00867	0.00235
-0.00872	0.00508
-0.00872	0.00686
-0.00878	0.00396
-0.00878	-0.00055
-0.00883	-0.00039
-0.00883	-0.00233
-0.00883	0.00557
-0.00889	-0.00023
-0.00889	0.00363
-0.00894	0.00090
-0.00894	0.00589
-0.00894	0.00428
-0.00900	-0.00007
-0.00900	0.00122
-0.00906	0.00090
-0.00906	0.00057
-0.00911	0.00073
-0.00911	0.00025
-0.00911	0.00106
-0.00917	-0.00088
-0.00917	0.00041
-0.00922	0.00283
-0.00922	0.00492
-0.00922	-0.00265
-0.00928	-0.00378
-0.00928	-0.00088
-0.00933	-0.00152
-0.00933	0.00670
-0.00933	-0.00072
-0.00939	0.00718
-0.00939	0.00621
-0.00944	-0.00603
-0.00944	-0.00265
-0.00944	0.00170
-0.00950	0.00025
-0.00950	0.00476
-0.00956	-0.00265
-0.00956	0.00073
-0.00956	0.00299
-0.00961	0.00573
-0.00961	0.00299
-0.00967	0.00122
-0.00967	0.00815
-0.00967	0.00589
-0.00972	0.00299
-0.00972	-0.00088
-0.00978	0.00637
-0.00978	0.00396
-0.00983	0.00831
-0.00983	0.00090
-0.00983	0.00218
-0.00989	0.00798
-0.00989	0.00557
-0.00994	-0.00265
-0.00994	-0.00072
-0.00994	0.00605
-0.01000	0.00637
-0.01000	0.00073
-0.01006	0.00154
-0.01006	0.00653
-0.01006	0.00637
-0.01011	0.00380
-0.01011	0.00025
-0.01017	-0.00490
-0.01017	0.00090
-0.01017	0.00267
-0.01022	0.00589
-0.01022	0.00492
-0.01028	0.00057
-0.01028	0.00331
-0.01028	-0.00152
-0.01033	0.00186
-0.01033	-0.00909
-0.01039	0.00009
-0.01039	-0.00136
-0.01039	-0.00442
-0.01044	0.00235
-0.01044	0.00412
-0.01050	-0.00217
-0.01050	0.00428
-0.01050	-0.00055
-0.01056	-0.00329
-0.01056	0.00331
-0.01061	0.00041
-0.01061	-0.00055
-0.01067	0.00025
-0.01067	-0.00716
-0.01067	0.00396
-0.01072	0.00251
-0.01072	-0.00168
-0.01078	0.00057
-0.01078	0.00251
-0.01078	-0.00007
-0.01083	-0.00023
-0.01083	-0.00039
-0.01089	0.00476
-0.01089	0.00041
-0.01089	0.00235
-0.01094	0.00090
-0.01094	-0.00635
-0.01100	0.00508
-0.01100	-0.00007
-0.01100	-0.00120
-0.01106	-0.00072
-0.01106	0.00106
-0.01111	0.00734
-0.01111	0.00235
-0.01111	0.00396
-0.01117	0.00347
-0.01117	0.00057
-0.01122	0.00283
-0.01122	0.00492
-0.01122	0.00122
-0.01128	-0.00007
-0.01128	0.00154
-0.01133	0.00331
-0.01133	0.00621
-0.01139	0.00090
-0.01139	0.00106
-0.01139	0.00476
-0.01144	-0.00362
-0.01144	0.00621
-0.01150	-0.00603
-0.01150	0.00154
-0.01150	0.00251
-0.01156	-0.00007
-0.01156	0.00541
-0.01161	-0.00200
-0.01161	0.00412
-0.01161	0.00138
-0.01167	0.00396
-0.01167	-0.00055
-0.01172	0.00508
-0.01172	0.00025
-0.01172	0.00106
-0.01178	0.00444
-0.01178	0.00396
-0.01183	-0.00539
-0.01183	0.00025
-0.01183	0.00202
-0.01189	0.00686
-0.01189	0.00138
-0.01189	-0.00394
-0.01194	0.00235
-0.01194	0.00235
-0.01200	-0.00055
-0.01200	0.00380
-0.01200	-0.00023
-0.01206	-0.00072
-0.01206	-0.00039
-0.01211	-0.00023
-0.01211	0.00573
-0.01211	-0.00104
-0.01217	0.00073
-0.01217	0.00090
-0.01222	0.00492
-0.01222	0.00557
-0.01222	-0.00474
-0.01228	0.00605
-0.01228	-0.00152
-0.01233	-0.00152
-0.01233	0.00267
-0.01233	-0.00072
-0.01239	0.00331
-0.01239	-0.00104
-0.01244	0.00412
-0.01244	0.00154
-0.01250	0.00702
-0.01250	-0.00055
-0.01250	0.00492
-0.01256	0.00573
-0.01256	-0.00426
-0.01256	0.00315
-0.01261	-0.00523
-0.01261	-0.00249
-0.01267	-0.00072
-0.01267	-0.00120
-0.01267	0.00057
-0.01272	-0.00152
-0.01272	0.00218
-0.01272	-0.00652
-0.01278	0.00508
-0.01278	-0.00490
-0.01283	-0.00120
-0.01283	0.00235
-0.01283	0.00541
-0.01289	0.00138
-0.01289	-0.00507
-0.01294	0.00508
-0.01294	0.00347
-0.01294	0.00380
-0.01300	-0.00055
-0.01300	-0.00603
-0.01306	0.00363
-0.01306	0.00428
-0.01306	0.00138
-0.01311	-0.00152
-0.01311	0.00186
-0.01317	-0.00039
-0.01317	0.00251
-0.01317	0.00073
-0.01322	0.00428
-0.01322	0.00041
-0.01328	0.00444
-0.01328	-0.00136
-0.01328	0.00380
-0.01333	-0.00555
-0.01333	-0.00764
-0.01339	-0.00797
-0.01339	-0.00490
-0.01339	0.00380
-0.01344	0.00299
-0.01344	0.00396
-0.01344	-0.00410
-0.01350	0.00154
-0.01350	0.00718
-0.01356	-0.00410
-0.01356	-0.00458
-0.01356	0.00315
-0.01361	0.00106
-0.01361	-0.00136
-0.01367	0.00637
-0.01367	0.00122
-0.01367	0.00331
-0.01372	-0.00088
-0.01372	-0.00104
-0.01378	0.00412
-0.01378	0.00573
-0.01378	0.00412
-0.01383	0.00492
-0.01383	0.00122
-0.01389	0.00363
-0.01389	0.00073
-0.01389	-0.00490
-0.01394	-0.00297
-0.01394	0.00444
-0.01400	0.00492
-0.01400	0.00702
-0.01400	-0.00555
-0.01406	0.00637
-0.01406	-0.00652
-0.01411	0.00025
-0.01411	-0.00088
-0.01411	0.00299
-0.01417	-0.00297
-0.01417	-0.00490
-0.01422	0.00476
-0.01422	0.00186
-0.01422	0.00073
-0.01428	0.00090
-0.01428	-0.00490
-0.01428	0.00589
-0.01433	-0.00426
-0.01433	0.00476
-0.01439	0.00106
-0.01439	0.00009
-0.01439	0.00396
-0.01444	-0.00152
-0.01444	0.00315
-0.01450	0.00476
-0.01450	0.00106
-0.01450	0.00460
-0.01456	-0.00007
-0.01456	0.00331
-0.01461	-0.00555
-0.01461	0.00218
-0.01467	0.00460
-0.01467	-0.00184
-0.01467	0.00138
-0.01472	-0.00039
-0.01472	-0.00394
-0.01478	-0.00055
-0.01478	0.00138
-0.01478	-0.00007
-0.01483	-0.00200
-0.01483	0.00525
-0.01489	0.00573
-0.01489	-0.00104
-0.01489	0.00589
-0.01494	0.00057
-0.01494	0.00525
-0.01500	-0.00490
-0.01500	0.00444
-0.01500	0.00138
-0.01506	0.00154
-0.01506	0.00315
-0.01511	0.00460
-0.01511	0.00186
-0.01511	0.00202
-0.01517	0.00541
-0.01517	0.00541
-0.01517	0.00476
-0.01522	0.00073
-0.01522	-0.00007
-0.01522	0.00428
-0.01528	0.00380
-0.01528	0.00073
-0.01533	-0.00039
-0.01533	0.00122
-0.01539	0.00138
-0.01539	-0.00233
-0.01539	0.00299
-0.01544	0.00637
-0.01544	-0.00474
-0.01550	0.00573
-0.01550	0.00138
-0.01550	0.00573
-0.01556	0.00154
-0.01556	-0.00410
-0.01561	0.00476
-0.01561	0.00557
-0.01561	0.00009
-0.01567	-0.00652
-0.01567	0.00090
-0.01572	0.00460
-0.01572	0.00380
-0.01572	-0.00023
-0.01578	0.00460
-0.01578	0.00557
-0.01583	-0.00490
-0.01583	0.00428
-0.01583	-0.00120
-0.01589	0.00267
-0.01589	-0.00297
-0.01594	0.00122
-0.01594	0.00621
-0.01594	0.00283
-0.01600	-0.00217
-0.01600	0.00605
-0.01606	0.00073
-0.01606	0.00009
-0.01606	-0.00023
-0.01611	0.00138
-0.01611	0.00235
-0.01611	-0.00426
-0.01617	0.00138
-0.01617	0.00718
-0.01622	0.00025
-0.01622	-0.00023
-0.01628	0.00331
-0.01628	-0.00168
-0.01628	0.00154
-0.01633	0.00444
-0.01633	0.00299
-0.01639	-0.00007
-0.01639	0.00057
-0.01639	0.00380
-0.01644	-0.00007
-0.01644	0.00251
-0.01650	-0.00394
-0.01650	0.00090
-0.01650	-0.00007
-0.01656	-0.00233
-0.01656	0.00186
-0.01661	-0.00136
-0.01661	0.00347
-0.01661	0.00154
-0.01667	-0.00055
-0.01667	-0.00136
-0.01672	0.00299
-0.01672	0.00138
-0.01672	0.00090
-0.01678	0.00315
-0.01678	0.00041
-0.01683	0.00202
-0.01683	0.00412
-0.01683	0.00508
-0.01689	0.00476
-0.01689	0.00347
-0.01694	0.00122
-0.01694	0.00202
-0.01694	0.00653
-0.01700	0.00492
-0.01700	0.00460
-0.01706	0.00525
-0.01706	-0.00249
-0.01706	0.00218
-0.01711	-0.00072
-0.01711	0.00025
-0.01717	0.00331
-0.01717	0.00428
-0.01722	-0.00023
-0.01722	0.00573
-0.01722	0.00670
-0.01728	-0.00523
-0.01728	0.00106
-0.01733	-0.00426
-0.01733	0.00057
-0.01733	0.00444
-0.01739	0.00363
-0.01739	-0.00378
-0.01744	-0.00378
-0.01744	0.00412
-0.01744	-0.00088
-0.01750	0.00009
-0.01750	0.00009
-0.01756	-0.00410
-0.01756	-0.00410
-0.01756	-0.00168
-0.01761	-0.00007
-0.01761	-0.00313
-0.01767	0.00363
-0.01767	0.00170
-0.01767	0.00331
-0.01772	0.00057
-0.01772	0.00492
-0.01778	0.00347
-0.01778	0.00009
-0.01778	-0.00200
-0.01783	0.00154
-0.01783	-0.00539
-0.01789	0.00428
-0.01789	0.00073
-0.01794	0.00557
-0.01794	0.00460
-0.01800	-0.00652
-0.01800	0.00009
-0.01800	-0.00088
-0.01806	-0.00217
-0.01806	0.00106
-0.01811	-0.00088
-0.01811	0.00283
-0.01811	-0.00136
-0.01817	0.00363
-0.01817	-0.00168
-0.01822	0.00235
-0.01822	0.00235
-0.01828	0.00492
-0.01828	0.00541
-0.01828	0.00347
-0.01833	0.00041
-0.01833	-0.00362
-0.01839	-0.00426
-0.01839	-0.00507
-0.01839	-0.00039
-0.01844	0.00090
-0.01844	-0.00635
-0.01850	0.00057
-0.01850	0.00057
-0.01850	0.00589
-0.01856	-0.00619
-0.01856	0.00396
-0.01861	0.00041
-0.01861	0.00331
-0.01861	0.00363
-0.01867	0.00363
-0.01867	0.00331
-0.01872	0.00428
-0.01872	0.00315
-0.01872	0.00492
-0.01878	-0.00007
-0.01878	-0.00587
-0.01883	0.00299
-0.01883	0.00363
-0.01889	-0.00571
-0.01889	0.00025
-0.01889	-0.00603
-0.01894	0.00041
-0.01894	0.00605
-0.01900	-0.00072
-0.01900	-0.00152
-0.01906	-0.00200
-0.01906	-0.00217
-0.01906	-0.00200
-0.01911	0.00073
-0.01911	-0.00281
-0.01917	0.00251
-0.01917	-0.00265
-0.01917	0.00460
-0.01922	0.00073
-0.01922	0.00444
-0.01928	-0.00394
-0.01928	0.00073
-0.01928	0.00186
-0.01933	-0.00813
-0.01933	-0.00233
-0.01939	0.00331
-0.01939	0.00315
-0.01939	-0.00780
-0.01944	-0.00378
-0.01944	-0.00748
-0.01950	0.00331
-0.01950	-0.00088
-0.01950	-0.00313
-0.01956	-0.00442
-0.01956	0.00041
-0.01961	-0.00442
-0.01961	-0.00281
-0.01961	-0.00458
-0.01967	-0.00474
-0.01967	-0.00442
-0.01972	-0.00925
-0.01972	-0.00458
-0.01978	0.00009
-0.01978	-0.00329
-0.01978	-0.00410
-0.01983	0.00138
-0.01983	0.00235
-0.01989	0.00057
-0.01989	0.00428
-0.01989	-0.00039
-0.01994	-0.00490
-0.01994	-0.00813
-0.02000	-0.00152
-0.02000	-0.00088
-0.02006	-0.00458
-0.02006	-0.00426
-0.02006	-0.00072
-0.02011	-0.00925
-0.02011	-0.01022
-0.02011	0.00073
-0.02017	-0.00410
-0.02017	-0.00072
-0.02022	-0.00974
-0.02022	0.00041
-0.02022	0.00009
-0.02028	-0.00442
-0.02028	-0.00088
-0.02033	-0.00281
-0.02033	0.00138
-0.02033	0.00138
-0.02039	0.00041
-0.02039	0.00380
-0.02044	-0.00877
-0.02044	-0.00555
-0.02050	-0.00990
-0.02050	-0.00313
-0.02050	-0.00120
-0.02056	-0.00394
-0.02056	0.00251
-0.02061	-0.00603
-0.02061	-0.00458
-0.02061	0.00218
-0.02067	-0.00571
-0.02067	0.00283
-0.02072	-0.00490
-0.02072	-0.00490
-0.02072	-0.00958
-0.02078	-0.00426
-0.02078	0.00041
-0.02083	-0.00120
-0.02083	-0.00200
-0.02083	0.00235
-0.02089	0.00073
-0.02089	-0.00200
-0.02094	-0.00555
-0.02094	0.00073
-0.02094	-0.00217
-0.02100	0.00218
-0.02100	-0.00652
-0.02100	0.00009
-0.02106	-0.00909
-0.02106	-0.00120
-0.02111	-0.00442
-0.02111	-0.00362
-0.02111	-0.00152
-0.02117	-0.00442
-0.02117	-0.00249
-0.02122	0.00235
-0.02122	-0.00297
-0.02128	0.00170
-0.02128	-0.00329
-0.02133	-0.00345
-0.02133	-0.00265
-0.02133	-0.00474
-0.02139	-0.00168
-0.02139	-0.00104
-0.02144	0.00170
-0.02144	-0.00088
-0.02144	-0.00007
-0.02150	-0.00345
-0.02150	-0.00345
-0.02156	0.00041
-0.02156	-0.00297
-0.02156	-0.00233
-0.02161	-0.00942
-0.02161	-0.00458
-0.02167	-0.00684
-0.02167	-0.00877
-0.02167	-0.00362
-0.02172	-0.00490
-0.02172	-0.00974
-0.02178	-0.00362
-0.02178	-0.00539
-0.02178	-0.00603
-0.02183	-0.00507
-0.02183	-0.00458
-0.02189	-0.00909
-0.02189	-0.00797
-0.02189	0.00106
-0.02194	-0.00104
-0.02194	-0.00539
-0.02200	-0.00458
-0.02200	0.00122
-0.02200	-0.00072
-0.02206	-0.01087
-0.02206	-0.00136
-0.02206	-0.00442
-0.02211	0.00057
-0.02211	-0.00813
-0.02217	-0.00539
-0.02217	-0.00539
-0.02222	-0.00297
-0.02222	-0.00378
-0.02222	-0.00458
-0.02228	-0.00458
-0.02228	-0.00136
-0.02233	-0.00748
-0.02233	-0.00635
-0.02233	-0.00184
-0.02239	-0.00523
-0.02239	-0.00410
-0.02244	-0.00635
-0.02244	-0.00394
-0.02244	-0.00829
-0.02250	0.00267
-0.02250	-0.00426
-0.02256	0.00218
-0.02256	0.00090
-0.02256	-0.00587
-0.02261	0.00025
-0.02261	-0.00313
-0.02261	-0.00458
-0.02267	-0.00732
-0.02267	0.00283
-0.02272	-0.00152
-0.02272	0.00331
-0.02272	-0.00394
-0.02278	-0.00426
-0.02278	-0.00217
-0.02278	-0.00152
-0.02283	-0.00410
-0.02283	-0.00329
-0.02289	-0.00039
-0.02289	0.00009
-0.02289	0.00331
-0.02294	-0.00217
-0.02294	-0.00217
-0.02300	0.00347
-0.02300	-0.00136
-0.02300	-0.00233
-0.02306	-0.00136
-0.02306	0.00154
-0.02311	-0.00845
-0.02311	0.00347
-0.02317	-0.00217
-0.02317	-0.00555
-0.02317	-0.00136
-0.02322	0.00299
-0.02322	-0.00200
-0.02322	0.00492
-0.02328	0.00363
-0.02328	0.00025
-0.02333	-0.00233
-0.02333	-0.00958
-0.02333	0.00428
-0.02339	-0.00233
-0.02339	-0.00039
-0.02344	-0.00055
-0.02344	0.00460
-0.02344	-0.00184
-0.02350	0.00251
-0.02350	-0.00652
-0.02356	-0.00313
-0.02356	-0.00974
-0.02356	-0.00023
-0.02361	-0.00217
-0.02361	0.00202
-0.02361	0.00009
-0.02367	-0.00571
-0.02367	-0.00055
-0.02372	-0.00120
-0.02372	0.00186
-0.02378	-0.01006
-0.02378	-0.00362
-0.02378	0.00122
-0.02383	-0.00217
-0.02383	-0.00136
-0.02383	-0.00297
-0.02389	-0.00152
-0.02389	-0.00797
-0.02394	0.00009
-0.02394	-0.00458
-0.02400	0.00218
-0.02400	-0.00829
-0.02400	0.00009
-0.02406	-0.00619
-0.02406	-0.00410
-0.02411	-0.00845
-0.02411	-0.00362
-0.02411	-0.00297
-0.02417	-0.00345
-0.02417	0.00170
-0.02422	-0.00571
-0.02422	-0.00877
-0.02422	0.00363
-0.02428	-0.00426
-0.02428	-0.00635
-0.02428	-0.00394
-0.02433	-0.00394
-0.02433	0.00170
-0.02439	-0.00345
-0.02439	-0.00281
-0.02439	-0.00281
-0.02444	-0.00490
-0.02444	-0.00249
-0.02450	-0.00265
-0.02450	-0.00490
-0.02450	-0.00168
-0.02456	-0.00442
-0.02456	-0.00539
-0.02461	0.00363
-0.02461	0.00283
-0.02461	-0.00426
-0.02467	0.00106
-0.02467	-0.00329
-0.02472	-0.00362
-0.02472	-0.00329
-0.02472	0.00041
-0.02478	-0.00104
-0.02478	0.00170
-0.02483	-0.00265
-0.02483	-0.00716
-0.02489	0.00218
-0.02489	0.00460
-0.02489	0.00138
-0.02494	0.00106
-0.02494	-0.00088
-0.02494	0.00283
-0.02500	-0.00539
-0.02500	-0.00184
-0.02506	-0.00152
-0.02506	0.00734
-0.02506	0.00235
-0.02511	-0.00281
-0.02511	-0.00200
-0.02517	0.00299
-0.02517	0.00380
-0.02517	-0.00055
-0.02522	0.00251
-0.02522	-0.00023
-0.02522	-0.00055
-0.02528	-0.00716
-0.02528	-0.00410
-0.02533	0.00315
-0.02533	-0.00700
-0.02533	-0.00313
-0.02539	0.00106
-0.02539	-0.00394
-0.02544	-0.00072
-0.02544	-0.00055
-0.02544	-0.00925
-0.02550	0.00073
-0.02550	-0.00039
-0.02556	-0.00587
-0.02556	-0.00555
-0.02556	-0.00797
-0.02561	-0.00249
-0.02561	-0.01135
-0.02567	-0.00442
-0.02567	0.00106
-0.02567	-0.00555
-0.02572	0.00154
-0.02572	-0.00474
-0.02578	-0.00410
-0.02578	-0.00974
-0.02578	-0.01071
-0.02583	-0.00394
-0.02583	-0.00942
-0.02589	0.00170
-0.02589	-0.00458
-0.02589	-0.00039
-0.02594	-0.00539
-0.02594	-0.00587
-0.02600	-0.00281
-0.02600	-0.00764
-0.02600	0.00009
-0.02606	-0.00635
-0.02606	-0.00571
-0.02606	-0.00168
-0.02611	-0.00474
-0.02611	0.00073
-0.02617	-0.01054
-0.02617	-0.00378
-0.02617	0.00396
-0.02622	-0.00200
-0.02622	0.00283
-0.02628	0.00235
-0.02628	-0.00523
-0.02628	-0.00297
-0.02633	-0.00168
-0.02633	-0.00426
-0.02639	-0.00265
-0.02639	-0.00055
-0.02644	-0.00394
-0.02644	0.00073
-0.02644	-0.00716
-0.02650	-0.00684
-0.02650	-0.00329
-0.02650	0.00428
-0.02656	-0.00136
-0.02656	-0.00394
-0.02661	-0.00072
-0.02661	0.00331
-0.02661	-0.00168
-0.02667	-0.00152
-0.02667	-0.00603
-0.02672	0.00380
-0.02672	-0.00088
-0.02672	-0.00265
-0.02678	0.00380
-0.02678	-0.00120
-0.02683	-0.00265
-0.02683	-0.00265
-0.02683	0.00218
-0.02689	0.00396
